134,Franklin Gothic Heavy,Regular,FRAHV.TTF,0,Franklin Gothic Heavy,FranklinGothic-Heavy,Franklin Gothic Heavy,2,Franklin Gothic Heavy,FranklinGothic-Heavy,0,400,0,536871071,3755409408,647,0,0,0,
135,Franklin Gothic Heavy,Italic,FRAHVIT.TTF,0,Franklin Gothic Heavy,FranklinGothic-HeavyItalic,Franklin Gothic Heavy Italic,2,Franklin Gothic Heavy,FranklinGothic-HeavyItalic,1,400,64,536871071,3755409408,647,0,0,0,
136,Franklin Gothic Medium,Regular,framd.ttf,0,Franklin Gothic Medium,FranklinGothic-Medium,Franklin Gothic Medium,2,Franklin Gothic Medium,FranklinGothic-Medium,0,400,0,536871071,3755409408,647,0,0,0,
137,Franklin Gothic Medium Cond,Regular,FRAMDCN.TTF,0,Franklin Gothic Medium Cond,FranklinGothic-MediumCond,Franklin Gothic Medium Cond,2,Franklin Gothic Medium Cond,FranklinGothic-MediumCond,0,400,0,536871071,3755409408,647,0,0,0,
138,Franklin Gothic Medium,Italic,framdit.ttf,0,Franklin Gothic Medium,FranklinGothic-MediumItalic,Franklin Gothic Medium Italic,2,Franklin Gothic Medium,FranklinGothic-MediumItalic,1,400,64,536871071,3755409408,647,0,0,0,
139,Freestyle Script,Regular,FREESCPT.TTF,0,Freestyle Script,FreestyleScript-Regular,Freestyle Script,2,Freestyle Script,FreestyleScript-Regular,0,400,0,536870913,0,3,0,0,0,
140,French Script MT,Regular,FRSCRIPT.TTF,0,French Script MT,FrenchScriptMT,French Script MT,2,French Script MT,FrenchScriptMT,0,400,0,536870913,0,3,0,0,0,
141,Footlight MT Light,Regular,FTLTLT.TTF,0,Footlight MT Light,FootlightMTLight,Footlight MT Light,2,Footlight MT Light,FootlightMTLight,0,300,2,536870913,0,3,0,0,0,
142,FZShuTi,Regular,FZSTK.TTF,0,FZShuTi,FZSTK--GBK1-0,FZShuTi,3,FZShuTi,FZSTK--GBK1-0,方正舒体,0,400,0,262144,0,3,135135232,0,0,
143,FZYaoTi,Regular,FZYTK.TTF,0,FZYaoTi,FZYTK--GBK1-0,FZYaoTi,3,FZYaoTi,FZYTK--GBK1-0,方正姚体,0,400,0,262144,0,3,135135232,0,0,
